Year,Unit,Value
1950,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",38.2
1951,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",36.9
1952,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",41.8
1953,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40.7
1954,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",39.4
1955,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",42
1956,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",47.4
1957,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",48.3
1958,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",52.8
1959,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",53.1
1960,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",54.7
1961,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",62.4
1962,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",64.7
1963,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",67.9
1964,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",62.9
1965,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",74.1
1966,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",73.1
1967,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80.1
1968,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",79.5
1969,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",85.9
1970,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",72.4
1971,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",88.1
1972,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",97
1973,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",91.3
1974,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",71.9
1975,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",86.4
1976,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",88
1977,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",90.8
1978,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",101
1979,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",109.5
1980,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",91
1981,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",108.9
1982,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",113.2
1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",81.1
1984,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",106.7
1985,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",118
1986,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",119.4
1987,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",119.8
1988,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",84.6
1989,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",116.3
1990,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",118.5
1991,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",108.6
1992,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",131.5
1993,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",100.7
1994,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",138.6
1995,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",113.5
1996,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",127.1
1997,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",126.7
1998,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",134.4
1999,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",133.8
2000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",136.9
2001,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",138.2
2002,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",129.3
2003,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",142.2
2004,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",160.3
2005,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",147.9
2006,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",149.1
2007,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",150.7
2008,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",153.3
2009,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",164.4
2010,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",152.6
2011,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",146.8
2012,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",123.1
2013,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",158.1
2014,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",171
2015,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",168.4
2016,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",174.6
2017,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",176.6
2018,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",176.4
2019,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",167.5
2020,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",171.4
2021,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",176.7
2022,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",173.3
